Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
45;infrastructure;Administrativos-UDP;B0:1F:8C:E1:B2:07;;1;No;WPA2,AES-CCM;No;130.0;0;9;0;0;0;0;0;;;Fri Oct 20 08:50:29 2023;Fri Oct 20 08:52:37 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
46;infrastructure;Myhome;E4:AB:89:05:FA:D8;;11;No;WPA2,AES-CCM;No;130.0;0;36;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
47;infrastructure;;B0:1F:8C:E1:B2:04;;1;No;WPA3,AES-CCM,OWE;No;130.0;0;13;0;0;0;0;0;;;Fri Oct 20 08:50:29 2023;Fri Oct 20 08:52:33 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
48;infrastructure;CECI;44:48:B9:41:A2:D8;;1;No;WPA2,AES-CCM;No;130.0;0;0;0;0;0;0;0;;;Fri Oct 20 08:52:44 2023;Fri Oct 20 08:52:44 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
49;infrastructure;HUAWEI-B2368-D781DD;CC:D4:A1:D7:81:DD;;13;No;WPA2,AES-CCM,TKIP;No;130.0;0;64;0;0;0;0;0;;;Fri Oct 20 08:50:23 2023;Fri Oct 20 08:52:55 2023;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
50;infrastructure;VTR-2078881;48:D3:43:33:B9:D9;;11;No;WPA2,AES-CCM;No;130.0;0;26;0;0;0;0;0;;;Fri Oct 20 08:50:29 2023;Fri Oct 20 08:52:54 2023;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
51;infrastructure;cableadaTelematica-invitado;58:EF:68:47:59:C8;;6;No;OPN,None;No;130.0;0;67;0;181;0;0;181;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:55 2023;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.33.101;
52;infrastructure;cableadaTelematica;58:EF:68:47:59:C6;;6;No;WPA,AES-CCM,TKIP;No;130.0;0;78;0;7;0;0;7;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:50 2023;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
53;infrastructure;JPablo;CC:ED:DC:1C:0E:71;;8;No;WPA2,AES-CCM,TKIP;No;130.0;0;46;0;1;0;0;1;;;Fri Oct 20 08:50:23 2023;Fri Oct 20 08:52:52 2023;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
54;infrastructure;;8A:D8:1B:C6:83:E9;;2;No;WPA2,AES-CCM;No;195.0;0;54;0;0;0;0;0;;;Fri Oct 20 08:50:23 2023;Fri Oct 20 08:52:52 2023;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
55;infrastructure;FAMILIAGL_EXT;84:D8:1B:C6:83:E9;;2;No;AES-CCM,TKIP;No;195.0;0;40;0;6;0;0;6;;;Fri Oct 20 08:50:30 2023;Fri Oct 20 08:52:52 2023;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
56;infrastructure;Alumnos-UDP;B0:1F:8C:E1:B2:03;;1;No;OPN,None;No;130.0;0;23;0;0;0;0;0;;;Fri Oct 20 08:50:40 2023;Fri Oct 20 08:52:33 2023;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
57;infrastructure;ZTE_B5EA07;B4:1C:30:B5:EA:07;;10;No;WPA2,AES-CCM;No;130.0;0;14;0;0;0;0;0;;;Fri Oct 20 08:50:39 2023;Fri Oct 20 08:52:53 2023;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
58;infrastructure;Invitados-UDP;B0:1F:8C:E2:14:A1;;11;No;OPN,None;No;130.0;0;92;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
59;infrastructure;;B0:1F:8C:E2:14:A6;;11;No;WPA3,AES-CCM,OWE;No;130.0;0;94;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
60;infrastructure;Administrativos-UDP;B0:1F:8C:E2:14:A7;;11;No;WPA2,AES-CCM;No;130.0;0;94;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
61;infrastructure;;B0:1F:8C:E2:14:A4;;11;No;WPA3,AES-CCM,OWE;No;130.0;0;108;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
62;infrastructure;Sala Hibrida-UDP;B0:1F:8C:E2:14:A0;;11;No;WPA3,AES-CCM,SAE;No;130.0;0;88;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
63;infrastructure;Alumnos-UDP;B0:1F:8C:E2:14:A3;;11;No;OPN,None;No;130.0;0;90;0;19;0;0;19;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.31.0.61;
64;infrastructure;;B0:1F:8C:E2:14:A2;;11;No;WPA3,AES-CCM,OWE;No;130.0;0;92;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
65;infrastructure;VIP-UDP;B0:1F:8C:E2:14:A5;;11;No;OPN,None;No;130.0;0;94;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
66;infrastructure;Telematica;98:FC:11:86:B6:B9;;6;No;WPA,AES-CCM,TKIP;No;130.0;0;118;0;1434;0;0;1434;;;Fri Oct 20 08:50:22 2023;Fri Oct 20 08:52:55 2023;-50;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
67;infrastructure;WEP;B0:48:7A:D2:DD:74;;3;No;WEP;No;54.0;0;248;0;5151;0;0;5151;;;Fri Oct 20 08:50:23 2023;Fri Oct 20 08:52:55 2023;-45;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
